Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Gradient Boosting Classifier,0.8347,0.8648,0.7368,0.822,0.7736,0.6444,0.6501,0.243
Ridge Classifier,0.8202,0.8638,0.7451,0.779,0.7593,0.6164,0.6191,0.109
Linear Discriminant Analysis,0.8202,0.8612,0.7451,0.7789,0.7595,0.6165,0.6189,0.119
Random Forest Classifier,0.8188,0.8534,0.7538,0.78,0.7619,0.6163,0.6212,0.346
Extra Trees Classifier,0.8172,0.8304,0.7621,0.7654,0.7613,0.6136,0.6159,0.304
Light Gradient Boosting Machine,0.8139,0.8631,0.712,0.7891,0.7437,0.5989,0.6054,0.702
Extreme Gradient Boosting,0.8138,0.8586,0.7415,0.7718,0.7505,0.6029,0.6088,0.185
Ada Boost Classifier,0.8137,0.8362,0.7453,0.774,0.7538,0.6049,0.6107,0.359
Logistic Regression,0.8122,0.8629,0.7368,0.766,0.7489,0.5995,0.6018,1.092
Decision Tree Classifier,0.7834,0.7698,0.7284,0.7173,0.7194,0.5436,0.5467,0.11
SVM - Linear Kernel,0.7448,0.829,0.7491,0.6935,0.6768,0.4746,0.5086,0.112
Naive Bayes,0.7447,0.8216,0.6402,0.6789,0.6516,0.4522,0.4585,0.111
K Neighbors Classifier,0.7352,0.754,0.5868,0.6834,0.6273,0.4248,0.431,0.118
Quadratic Discriminant Analysis,0.6868,0.8198,0.2507,0.7736,0.3531,0.2337,0.2983,0.185
Dummy Classifier,0.6164,0.5,0.0,0.0,0.0,0.0,0.0,0.107
